"Período (s) Serie Nº 1";"Período (s) Serie Nº 2";"Período (s) Serie Nº 3";"Período (s) Serie Nº 5";"Período (s) Serie Nº 6";"Período (s) Serie Nº 7";"Período (s) Serie Nº 8";"Período (s) Serie Nº 9";"Período (s) Serie Nº 10";"Período (s) Serie Nº 11"
1,72;1,66;1,59;1,51;1,42;1,33;1,24;1,14;1,02;0,89
1,72;1,66;1,59;1,51;1,42;1,33;1,23;1,14;1,02;0,89
1,72;1,66;1,59;1,51;1,42;1,33;1,24;1,14;1,02;0,89
1,72;1,66;1,59;1,51;1,42;1,33;1,24;1,14;1,02;0,89
1,72;1,66;1,59;1,51;1,42;1,33;1,24;1,14;1,02;0,89
1,72;1,66;1,59;1,51;1,42;1,33;1,24;1,14;1,02;0,89
1,72;1,66;1,59;1,51;1,42;1,33;1,24;1,14;1,02;0,89
1,72;;;1,51;;1,33;1,24;1,14;1,02;0,89
;;;;;;1,24;1,14;1,02;0,89
;;;;;;;1,14;1,02;0,89
;;;;;;;;;0,89
;;;;;;;;;0,89
