"Tiempo (s) Serie Nº 4";"Aceleración - y (m/s²) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Aceleración - y (m/s²) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5";"Tiempo (s) Serie Nº 6";"Aceleración - y (m/s²) Serie Nº 6";"Vector velocidad (m/s) Serie Nº 6";"Tiempo (s) Serie Nº 7";"Aceleración - y (m/s²) Serie Nº 7";"Vector velocidad (m/s) Serie Nº 7";"Tiempo (s) Serie Nº 8";"Aceleración - y (m/s²) Serie Nº 8";"Vector velocidad (m/s) Serie Nº 8";"Tiempo (s) Serie Nº 9";"Aceleración - y (m/s²) Serie Nº 9";"Vector velocidad (m/s) Serie Nº 9";"Tiempo (s) Serie Nº 10";"Aceleración - y (m/s²) Serie Nº 10";"Vector velocidad (m/s) Serie Nº 10";"Tiempo (s) Serie Nº 12";"Aceleración - y (m/s²) Serie Nº 12";"Vector velocidad (m/s) Serie Nº 12";"Tiempo (s) Serie Nº 13";"Aceleración - y (m/s²) Serie Nº 13";"Vector velocidad (m/s) Serie Nº 13";"Tiempo (s) Serie Nº 14";"Aceleración - y (m/s²) Serie Nº 14";"Vector velocidad (m/s) Serie Nº 14"
0,000;9,8;;0,000;9,8;;0,000;9,7;;0,000;9,6;;0,000;9,5;;0,000;9,4;;0,000;9,3;;0,000;9,7;;0,000;9,6;;0,000;9,4;
0,050;9,8;0,000;0,050;9,8;-0,006;0,050;9,7;0,002;0,050;9,6;-0,002;0,050;9,5;0,000;0,050;9,4;-0,002;0,050;9,3;-0,002;0,050;9,8;0,001;0,050;9,6;-0,002;0,050;9,4;0,000
0,100;9,8;-0,001;0,100;9,8;-8,084E-4;0,100;9,7;0,005;0,100;9,6;-0,002;0,100;9,5;-8,084E-4;0,100;9,4;-8,084E-4;0,100;9,3;-8,084E-4;0,100;9,8;-0,006;0,100;9,6;-0,002;0,100;9,4;4,042E-4
0,150;9,8;-0,003;0,150;9,7;0,003;0,150;9,7;0,005;0,150;9,6;-0,002;0,150;9,5;-0,002;0,150;9,4;-4,042E-4;0,150;9,3;0,000;0,150;9,8;-0,016;0,150;9,6;-0,001;0,150;9,4;4,042E-4
0,200;9,8;-0,004;0,200;9,7;0,004;0,200;9,7;0,003;0,200;9,6;-0,001;0,200;9,5;-0,004;0,200;9,4;-8,084E-4;0,200;9,3;0,000;0,200;9,7;-0,016;0,200;9,6;-4,042E-4;0,200;9,4;0,000
0,250;9,8;-0,002;0,250;9,7;0,003;0,250;9,7;0,000;0,250;9,6;-8,084E-4;0,250;9,5;-0,004;0,250;9,4;-8,084E-4;0,250;9,3;0,000;0,250;9,8;0,007;0,250;9,6;-8,084E-4;0,250;9,4;0,000
0,300;9,8;0,001;0,300;9,8;8,084E-4;0,300;9,7;-0,002;0,300;9,5;-0,002;0,300;9,4;-0,004;0,300;9,4;-4,042E-4;0,300;9,3;-4,042E-4;0,300;9,8;0,049;0,300;9,6;-0,002;0,300;9,4;-4,042E-4
0,350;9,8;0,005;0,350;9,8;-0,002;0,350;9,7;-0,004;0,350;9,6;-0,002;0,350;9,5;-0,005;0,350;9,4;0,000;0,350;9,3;-0,001;0,350;9,7;0,096;0,350;9,6;0,000;0,350;9,4;-0,001
0,400;9,8;0,014;0,400;9,8;-0,002;0,400;9,7;-0,003;0,400;9,5;-0,002;0,400;9,5;-0,006;0,400;9,3;-4,042E-4;0,400;9,3;-0,002;0,400;9,7;0,143;0,400;9,6;0,009;0,400;9,4;-0,002
0,450;9,8;0,032;0,450;9,8;0,000;0,450;9,7;-8,084E-4;0,450;9,5;-0,002;0,450;9,5;-0,004;0,450;9,4;-0,001;0,450;9,3;-0,003;0,450;9,7;0,189;0,450;9,6;0,036;0,450;9,4;-0,003
0,500;9,8;0,058;0,500;9,7;0,001;0,500;9,7;0,002;0,500;9,5;-0,002;0,500;9,4;0,011;0,500;9,3;-0,002;0,500;9,3;-0,004;0,500;9,6;0,235;0,500;9,6;0,087;0,500;9,4;0,002
0,550;9,7;0,088;0,550;9,7;4,042E-4;0,550;9,7;0,004;0,550;9,5;-0,001;0,550;9,4;0,056;0,550;9,4;8,084E-4;0,550;9,3;-0,004;0,550;9,7;0,281;0,550;9,6;0,159;0,550;9,4;0,027
0,600;9,8;0,118;0,600;9,7;-0,001;0,600;9,6;0,004;0,600;9,6;4,042E-4;0,600;9,5;0,139;0,600;9,4;0,017;0,600;9,3;-0,004;0,600;9,9;0,328;0,600;9,5;0,242;0,600;9,4;0,089
0,650;9,8;0,149;0,650;9,7;-0,002;0,650;9,7;0,004;0,650;9,5;0,004;0,650;9,5;0,249;0,650;9,3;0,058;0,650;9,2;-0,003;0,650;9,7;0,373;0,650;9,6;0,328;0,650;9,4;0,188
0,700;9,7;0,179;0,700;9,7;-0,002;0,700;9,7;0,002;0,700;9,5;0,008;0,700;9,5;0,369;0,700;9,4;0,135;0,700;9,3;-0,002;0,700;9,7;0,418;0,700;9,7;0,415;0,700;9,5;0,310
0,750;9,9;0,210;0,750;9,8;-0,002;0,750;9,7;4,042E-4;0,750;9,6;0,013;0,750;9,4;0,489;0,750;9,3;0,245;0,750;9,3;-0,002;0,750;9,8;0,463;0,750;9,4;0,502;0,750;9,5;0,440
0,800;9,8;0,240;0,800;9,8;-0,003;0,800;9,7;-0,002;0,800;9,5;0,021;0,800;9,5;0,608;0,800;9,4;0,377;0,800;9,3;-4,042E-4;0,800;9,7;0,509;0,800;9,7;0,589;0,800;9,6;0,570
0,850;9,7;0,268;0,850;9,7;-0,003;0,850;9,6;-8,084E-4;0,850;9,5;0,037;0,850;9,7;0,726;0,850;9,4;0,514;0,850;9,3;8,084E-4;0,850;9,8;0,555;0,850;9,7;0,675;0,850;9,7;0,699
0,900;9,8;0,295;0,900;9,8;-0,002;0,900;9,7;0,002;0,900;9,5;0,070;0,900;9,2;0,843;0,900;9,3;0,650;0,900;9,3;0,009;0,900;9,7;0,601;0,900;9,4;0,762;0,900;9,4;0,828
0,950;9,7;0,322;0,950;9,7;-4,042E-4;0,950;9,7;0,004;0,950;9,6;0,116;0,950;9,5;0,958;0,950;9,3;0,786;0,950;9,3;0,039;0,950;9,6;0,647;0,950;9,5;0,850;0,950;9,6;0,959
1,000;9,8;0,350;1,000;9,7;0,001;1,000;9,7;0,002;1,000;9,5;0,170;1,000;9,5;1,074;1,000;9,1;0,922;1,000;9,3;0,108;1,000;9,8;0,693;1,000;9,6;0,937;1,000;9,3;1,090
1,050;9,8;0,378;1,050;9,8;0,002;1,050;9,7;2,168E-18;1,050;9,5;0,232;1,050;9,6;1,189;1,050;9,3;1,059;1,050;9,4;0,219;1,050;9,9;0,738;1,050;9,6;1,024;1,050;8,9;1,222
1,100;9,9;0,407;1,100;9,8;0,001;1,100;9,7;-0,002;1,100;9,6;0,307;1,100;9,4;1,304;1,100;9,5;1,196;1,100;9,3;0,358;1,100;9,7;0,784;1,100;9,6;1,112;1,100;9,2;1,355
1,150;9,7;0,435;1,150;9,7;-0,003;1,150;9,7;-0,003;1,150;9,6;0,399;1,150;9,6;1,420;1,150;8,9;1,333;1,150;9,3;0,508;1,150;10,0;0,831;1,150;9,3;1,199;1,150;9,2;1,487
1,200;9,8;0,464;1,200;9,8;-0,007;1,200;9,7;-0,004;1,200;9,6;0,501;1,200;9,3;1,536;1,200;9,1;1,471;1,200;9,2;0,661;1,200;9,8;0,877;1,200;9,5;1,287;1,200;9,9;1,618
1,250;9,8;0,494;1,250;9,7;-0,009;1,250;9,7;-0,006;1,250;9,6;0,604;1,250;9,3;1,651;1,250;9,7;1,608;1,250;9,3;0,814;1,250;9,3;0,923;1,250;9,6;1,374;1,250;10,5;1,649
1,300;9,8;0,524;1,300;9,8;-0,008;1,300;9,7;-0,005;1,300;9,4;0,707;1,300;9,3;1,458;1,300;9,4;1,745;1,300;9,4;0,966;1,300;9,9;0,968;1,300;10,1;1,385;1,300;9,4;1,150
1,350;9,8;0,554;1,350;9,7;-0,005;1,350;9,7;-0,004;1,350;9,4;0,810;1,350;9,8;0,770;1,350;9,8;1,680;1,350;9,3;1,119;1,350;10,2;1,014;1,350;9,3;0,950;1,350;20,5;0,238
1,400;9,9;0,584;1,400;9,7;0,011;1,400;9,7;-0,002;1,400;9,6;0,915;1,400;0,1;-0,107;1,400;9,4;1,069;1,400;9,3;1,272;1,400;9,5;1,059;1,400;17,3;0,158;1,400;14,8;-0,556
1,450;10,0;0,613;1,450;9,7;0,045;1,450;9,7;-0,002;1,450;9,6;1,020;1,450;14,6;-0,675;1,450;11,4;0,115;1,450;8,6;1,425;1,450;9,9;0,913;1,450;5,4;-0,542;1,450;9,3;-0,818
1,500;9,6;0,642;1,500;9,7;0,097;1,500;9,7;-0,002;1,500;8,9;1,123;1,500;10,8;-0,742;1,500;14,4;-0,625;1,500;9,4;1,577;1,500;9,9;0,434;1,500;10,3;-0,798;1,500;10,2;-0,665
